,base,date,rates,currency
SLE,EUR,2023-01-17,20.629643,SLE
SLL,EUR,2023-01-17,20673.196636,SLL
SOS,EUR,2023-01-17,614.797208,SOS
SRD,EUR,2023-01-17,34.275864,SRD
STD,EUR,2023-01-17,22344.304725,STD
SVC,EUR,2023-01-17,9.453833,SVC
SYP,EUR,2023-01-17,2711.799141,SYP
SZL,EUR,2023-01-17,18.439174,SZL
THB,EUR,2023-01-17,35.657634,THB
TJS,EUR,2023-01-17,11.036586,TJS
TMT,EUR,2023-01-17,3.778391,TMT
TND,EUR,2023-01-17,3.300695,TND
TOP,EUR,2023-01-17,2.5127420000000003,TOP
TRY,EUR,2023-01-17,20.286268,TRY
TTD,EUR,2023-01-17,7.337848,TTD
TWD,EUR,2023-01-17,32.669593,TWD
TZS,EUR,2023-01-17,2525.092282,TZS
UAH,EUR,2023-01-17,39.708961,UAH
UGX,EUR,2023-01-17,3976.201138,UGX
USD,EUR,2023-01-17,1.07954,USD
UYU,EUR,2023-01-17,42.852438,UYU
UZS,EUR,2023-01-17,12220.396443,UZS
VEF,EUR,2023-01-17,2076485.837537,VEF
VES,EUR,2023-01-17,21.201304,VES
VND,EUR,2023-01-17,25295.788421,VND
VUV,EUR,2023-01-17,125.830716,VUV
WST,EUR,2023-01-17,2.895034,WST
XAF,EUR,2023-01-17,654.31464,XAF
XAG,EUR,2023-01-17,0.045176999999999995,XAG
XAU,EUR,2023-01-17,0.000567,XAU
XCD,EUR,2023-01-17,2.917512,XCD
XDR,EUR,2023-01-17,0.8012889999999999,XDR
XOF,EUR,2023-01-17,653.670315,XOF
XPF,EUR,2023-01-17,119.855996,XPF
YER,EUR,2023-01-17,270.154762,YER
ZAR,EUR,2023-01-17,18.418899,ZAR
ZMK,EUR,2023-01-17,9717.160441,ZMK
ZMW,EUR,2023-01-17,19.967189,ZMW
ZWL,EUR,2023-01-17,347.611538,ZWL
